TIMESTAMP,BBM_EBOX_OUT_VOLTAGE_MEASURED,STATOR_AND_MAIN_BATT_IN_VOLTAGE_MEASURED,BBM_WINCH_OUT_VOLTAGE_MEASURED,STATOR_TO_BBM_CURRENT_MEASURED,MAIN_BATT_TO_BBM_CURRENT_MEASURED,BBM_TO_WINCH_AND_BATT_CURRENT_MEASURED,WINCH_BATT_AND_BBM_TO_WINCH_CURRENT_MEASURED,BBM_TO_EBOX_CURRENT_MEASURED
2018-02-22T11-30-14_0001,11.85,12.08,11.84,0.08,0.21,0.11,0.05,0.30
2018-02-22T11-30-14_0002,11.85,12.08,11.83,0.07,0.23,0.08,-0.05,0.18
2018-02-22T11-30-14_0003,11.85,12.09,11.84,0.07,0.19,0.12,-0.02,0.17
2018-02-22T11-30-14_0004,11.85,12.08,11.85,0.06,0.24,0.10,0.05,0.18
2018-02-22T11-30-14_0005,11.85,12.09,11.82,0.06,0.22,0.09,-0.02,0.19
2018-02-22T11-30-14_0006,11.85,12.10,11.83,0.09,0.23,0.09,0.00,0.17
2018-02-22T11-30-14_0007,11.84,12.09,11.85,0.08,0.50,0.07,0.05,0.21
2018-02-22T11-30-14_0008,11.85,12.11,11.85,0.06,0.23,0.10,-0.02,0.20
2018-02-22T11-30-14_0009,11.85,12.09,11.85,0.09,0.22,0.11,0.02,0.18
2018-02-22T11-30-14_0010,11.84,12.09,11.86,0.07,0.22,0.09,0.02,0.45
2018-02-22T11-30-14_0011,11.85,12.10,11.83,0.08,0.23,0.08,0.05,0.19
2018-02-22T11-30-14_0012,11.84,12.09,11.83,0.05,0.22,0.09,-0.02,0.18
2018-02-22T11-30-14_0013,11.85,12.09,11.84,0.09,0.21,0.08,-0.02,0.18
2018-02-22T11-30-14_0014,11.85,12.07,11.85,0.09,0.26,0.11,0.00,0.20
2018-02-22T11-30-14_0015,11.84,12.07,11.85,0.06,0.26,0.09,-0.02,0.20
2018-02-22T11-30-14_0016,11.85,12.08,11.85,0.06,0.27,0.11,-0.02,0.18
2018-02-22T11-30-15_0000,11.84,12.07,11.84,0.06,0.46,0.11,-0.02,0.19
2018-02-22T11-30-15_0001,11.85,12.11,11.85,0.07,0.22,0.08,0.05,0.19
2018-02-22T11-30-15_0002,11.84,12.09,11.84,0.06,0.24,0.10,0.02,0.19
2018-02-22T11-30-15_0003,11.82,12.09,11.85,0.08,0.30,0.10,0.00,0.42
2018-02-22T11-30-15_0004,11.85,12.09,11.83,0.06,0.21,0.08,0.05,0.18
2018-02-22T11-30-15_0005,11.85,12.10,11.85,0.06,0.24,0.09,0.00,0.20
2018-02-22T11-30-15_0006,11.85,12.09,11.84,0.06,0.25,0.07,0.07,0.18
2018-02-22T11-30-15_0007,11.84,12.07,11.85,0.07,0.44,0.10,0.00,0.19
2018-02-22T11-30-15_0008,11.84,12.07,11.85,0.09,0.45,0.11,0.00,0.19
2018-02-22T11-30-15_0009,11.84,12.07,11.84,0.11,0.32,0.06,0.02,0.19
2018-02-22T11-30-15_0010,11.84,12.08,11.85,0.08,0.49,0.08,0.02,0.21
2018-02-22T11-30-15_0011,11.83,12.09,11.85,0.08,0.22,0.12,0.02,0.44
2018-02-22T11-30-15_0012,11.85,12.07,11.85,0.08,0.35,0.09,0.05,0.17
2018-02-22T11-30-15_0013,11.85,12.07,11.85,0.05,0.33,0.11,-0.02,0.18
2018-02-22T11-30-15_0014,11.84,12.07,11.85,0.09,0.49,0.09,0.05,0.18
2018-02-22T11-30-15_0015,11.84,12.08,11.85,0.06,0.22,0.10,0.02,0.46
2018-02-22T11-30-15_0016,11.84,12.08,11.83,0.06,0.20,0.09,0.00,0.17
2018-02-22T11-30-16_0000,11.84,12.10,11.83,0.09,0.21,0.10,0.00,0.20
2018-02-22T11-30-16_0001,11.84,12.08,11.83,0.07,0.20,0.09,0.02,0.20
2018-02-22T11-30-16_0002,11.84,12.08,11.85,0.07,0.40,0.10,-0.02,0.20
2018-02-22T11-30-16_0003,11.85,12.10,11.85,0.05,0.22,0.07,-0.07,0.18
2018-02-22T11-30-16_0004,11.85,12.09,11.83,0.10,0.23,0.11,0.00,0.19
2018-02-22T11-30-16_0005,11.84,12.08,11.84,0.07,0.38,0.10,0.02,0.21
2018-02-22T11-30-16_0006,11.84,12.09,11.84,0.06,0.25,0.06,0.07,0.18
2018-02-22T11-30-16_0007,11.85,12.09,11.85,0.10,0.24,0.06,-0.02,0.27
2018-02-22T11-30-16_0008,11.85,12.07,11.85,0.06,0.28,0.07,0.05,0.16
2018-02-22T11-30-16_0009,11.85,12.08,11.83,0.07,0.26,0.08,0.02,0.18
2018-02-22T11-30-16_0010,11.83,12.09,11.85,0.08,0.22,0.12,0.00,0.48
2018-02-22T11-30-16_0011,11.84,12.08,11.85,0.05,0.47,0.09,0.02,0.19
2018-02-22T11-30-16_0012,11.84,12.10,11.84,0.08,0.19,0.10,-0.02,0.19
2018-02-22T11-30-16_0013,11.84,12.09,11.85,0.11,0.23,0.09,-0.02,0.27
2018-02-22T11-30-16_0014,11.82,12.08,11.85,0.10,0.46,0.09,-0.05,0.24
2018-02-22T11-30-16_0015,11.85,12.10,11.85,0.08,0.20,0.10,0.02,0.20
2018-02-22T11-30-16_0016,11.84,12.09,11.86,0.09,0.22,0.08,-0.02,0.45
2018-02-22T11-30-17_0000,11.85,12.10,11.84,0.04,0.22,0.05,0.00,0.19
2018-02-22T11-30-17_0001,11.85,12.10,11.84,0.06,0.22,0.10,0.02,0.19
2018-02-22T11-30-17_0002,11.84,12.11,11.84,0.04,0.22,0.09,0.02,0.17
2018-02-22T11-30-17_0003,11.85,12.09,11.83,0.09,0.21,0.09,-0.05,0.20
2018-02-22T11-30-17_0004,11.84,12.09,11.85,0.06,0.20,0.11,0.02,0.44
2018-02-22T11-30-17_0005,11.85,12.09,11.85,0.09,0.25,0.11,0.00,0.36
2018-02-22T11-30-17_0006,11.85,12.08,11.83,0.07,0.21,0.09,0.09,0.22
2018-02-22T11-30-17_0007,11.85,12.10,11.85,0.09,0.20,0.08,-0.02,0.18
2018-02-22T11-30-17_0008,11.85,12.10,11.85,0.07,0.22,0.05,0.02,0.21
2018-02-22T11-30-17_0009,11.85,12.10,11.84,0.06,0.27,0.08,0.02,0.18
2018-02-22T11-30-17_0010,11.85,12.07,11.84,0.07,0.31,0.11,-0.02,0.20
2018-02-22T11-30-17_0011,11.83,12.09,11.85,0.06,0.44,0.09,0.02,0.26
2018-02-22T11-30-17_0012,11.84,12.06,11.85,0.07,0.40,0.06,-0.02,0.18
2018-02-22T11-30-17_0013,11.82,12.08,11.85,0.08,0.36,0.08,0.02,0.34
2018-02-22T11-30-17_0014,11.84,12.09,11.85,0.06,0.20,0.11,0.02,0.31
2018-02-22T11-30-17_0015,11.85,12.09,11.85,0.07,0.24,0.07,0.00,0.34
2018-02-22T11-30-17_0016,11.84,12.08,11.83,0.06,0.22,0.10,0.00,0.19
2018-02-22T11-30-18_0000,11.83,12.09,11.85,0.07,0.32,0.06,0.02,0.36
2018-02-22T11-30-18_0001,11.85,12.10,11.83,0.08,0.20,0.07,0.02,0.21
2018-02-22T11-30-18_0002,11.85,12.07,11.85,0.07,0.25,0.11,0.02,0.18
2018-02-22T11-30-18_0003,11.84,12.09,11.85,0.09,0.20,0.11,0.00,0.46
2018-02-22T11-30-18_0004,11.84,12.10,11.84,0.08,0.21,0.11,-0.02,0.17
2018-02-22T11-30-18_0005,11.85,12.09,11.85,0.09,0.23,0.09,0.00,0.32
2018-02-22T11-30-18_0006,11.85,12.09,11.83,0.06,0.25,0.09,0.00,0.21
2018-02-22T11-30-18_0007,11.85,12.07,11.84,0.06,0.27,0.08,-0.02,0.19
2018-02-22T11-30-18_0008,11.84,12.09,11.85,0.08,0.23,0.10,-0.02,0.41
2018-02-22T11-30-18_0009,11.84,12.11,11.84,0.08,0.22,0.11,0.00,0.21
2018-02-22T11-30-18_0010,11.84,12.09,11.85,0.09,0.25,0.09,-0.02,0.47
2018-02-22T11-30-18_0011,11.85,12.10,11.85,0.07,0.20,0.07,-0.02,0.19
2018-02-22T11-30-18_0012,11.84,12.09,11.82,0.08,0.26,0.11,0.00,0.19
2018-02-22T11-30-18_0013,11.85,12.08,11.83,0.10,0.21,0.09,0.00,0.16
2018-02-22T11-30-18_0014,11.84,12.09,11.84,0.09,0.22,0.08,0.02,0.24
2018-02-22T11-30-18_0015,11.84,12.09,11.84,0.08,0.25,0.09,-0.02,0.22
2018-02-22T11-30-18_0016,11.85,12.10,11.84,0.06,0.20,0.10,0.05,0.19
2018-02-22T11-30-18_0017,11.84,12.09,11.83,0.09,0.22,0.10,0.02,0.21
2018-02-22T11-30-19_0000,11.85,12.08,11.83,0.07,0.20,0.07,0.02,0.21
2018-02-22T11-30-19_0001,11.85,12.09,11.85,0.07,0.23,0.08,-0.05,0.32
2018-02-22T11-30-19_0002,11.85,12.07,11.85,0.05,0.34,0.06,-0.05,0.18
2018-02-22T11-30-19_0003,11.85,12.07,11.85,0.07,0.29,0.08,0.02,0.17
2018-02-22T11-30-19_0004,11.85,12.10,11.85,0.07,0.20,0.10,0.00,0.20
2018-02-22T11-30-19_0005,11.85,12.10,11.83,0.08,0.22,0.12,0.05,0.20
2018-02-22T11-30-19_0006,11.85,12.09,11.83,0.07,0.20,0.08,0.02,0.19
2018-02-22T11-30-19_0007,11.85,12.10,11.84,0.06,0.21,0.12,-0.05,0.21
2018-02-22T11-30-19_0008,11.84,12.09,11.83,0.09,0.20,0.11,0.05,0.20
2018-02-22T11-30-19_0009,11.82,12.09,11.85,0.05,0.32,0.08,0.02,0.39
2018-02-22T11-30-19_0010,11.85,12.10,11.84,0.09,0.22,0.12,-0.07,0.19
2018-02-22T11-30-19_0011,11.83,12.08,11.85,0.08,0.51,0.10,-0.07,0.22
2018-02-22T11-30-19_0012,11.84,12.09,11.84,0.05,0.22,0.09,0.02,0.36
2018-02-22T11-30-19_0013,11.84,12.09,11.82,0.07,0.21,0.09,0.00,0.20
2018-02-22T11-30-19_0014,11.85,12.07,11.85,0.06,0.47,0.10,0.07,0.21
2018-02-22T11-30-19_0015,11.84,12.10,11.82,0.09,0.25,0.11,0.00,0.17
2018-02-22T11-30-19_0016,11.83,12.09,11.85,0.05,0.49,0.08,-0.02,0.23
2018-02-22T11-30-20_0000,11.85,12.09,11.85,0.05,0.22,0.06,0.02,0.36
2018-02-22T11-30-20_0001,11.84,12.07,11.85,0.08,0.44,0.09,-0.02,0.19
2018-02-22T11-30-20_0002,11.85,12.08,11.84,0.09,0.25,0.10,-0.05,0.20
2018-02-22T11-30-20_0003,11.85,12.09,11.83,0.09,0.21,0.12,-0.02,0.19
2018-02-22T11-30-20_0004,11.85,12.10,11.85,0.08,0.21,0.06,-0.02,0.18
2018-02-22T11-30-20_0005,11.84,12.09,11.85,0.07,0.22,0.09,0.02,0.44
2018-02-22T11-30-20_0006,11.84,12.08,11.85,0.07,0.49,0.10,-0.02,0.21
2018-02-22T11-30-20_0007,11.83,12.09,11.85,0.09,0.39,0.07,0.05,0.33
2018-02-22T11-30-20_0008,11.85,12.08,11.85,0.06,0.31,0.10,0.00,0.17
2018-02-22T11-30-20_0009,11.85,12.10,11.84,0.06,0.24,0.08,0.00,0.19
2018-02-22T11-30-20_0010,11.85,12.10,11.85,0.08,0.24,0.08,0.00,0.17
2018-02-22T11-30-20_0011,11.85,12.09,11.83,0.09,0.19,0.08,0.05,0.19
2018-02-22T11-30-20_0012,11.83,12.08,11.85,0.07,0.23,0.06,0.07,0.43
2018-02-22T11-30-20_0013,11.84,12.09,11.85,0.06,0.21,0.11,0.02,0.49
2018-02-22T11-30-20_0014,11.85,12.08,11.85,0.07,0.27,0.11,0.02,0.18
2018-02-22T11-30-20_0015,11.84,12.07,11.85,0.08,0.29,0.09,0.09,0.20
2018-02-22T11-30-20_0016,11.84,12.07,11.84,0.06,0.46,0.11,0.05,0.17
2018-02-22T11-30-21_0000,11.82,12.08,11.85,0.06,0.36,0.06,0.00,0.33
2018-02-22T11-30-21_0001,11.85,12.07,11.85,0.09,0.34,0.09,0.07,0.16
2018-02-22T11-30-21_0002,11.84,12.09,11.83,0.09,0.23,0.10,-0.02,0.18
2018-02-22T11-30-21_0003,11.84,12.09,11.84,0.07,0.22,0.09,0.00,0.29
2018-02-22T11-30-21_0004,11.83,12.08,11.85,0.09,0.30,0.10,0.00,0.37
2018-02-22T11-30-21_0005,11.85,12.11,11.84,0.08,0.21,0.08,0.00,0.20
2018-02-22T11-30-21_0006,11.84,12.09,11.85,0.07,0.22,0.07,0.00,0.49
2018-02-22T11-30-21_0007,11.84,12.09,11.83,0.05,0.21,0.09,0.02,0.18
2018-02-22T11-30-21_0008,11.82,12.09,11.85,0.06,0.35,0.09,-0.02,0.39
2018-02-22T11-30-21_0009,11.85,12.09,11.83,0.05,0.22,0.08,0.00,0.20
2018-02-22T11-30-21_0010,11.82,12.09,11.85,0.10,0.43,0.07,0.02,0.24
2018-02-22T11-30-21_0011,11.84,12.08,11.85,0.08,0.21,0.10,0.05,0.40
2018-02-22T11-30-21_0012,11.85,12.10,11.84,0.06,0.21,0.09,0.02,0.22
2018-02-22T11-30-21_0013,11.84,12.10,11.84,0.08,0.20,0.10,-0.02,0.21
2018-02-22T11-30-21_0014,11.84,12.09,11.85,0.08,0.22,0.11,0.05,0.37
2018-02-22T11-30-21_0015,11.85,12.07,11.85,0.08,0.32,0.11,0.00,0.20
2018-02-22T11-30-21_0016,11.85,12.10,11.84,0.09,0.23,0.08,-0.02,0.20
2018-02-22T11-30-22_0000,11.83,12.08,11.85,0.05,0.30,0.07,-0.02,0.42
2018-02-22T11-30-22_0001,11.85,12.09,11.83,0.06,0.22,0.07,0.05,0.19
2018-02-22T11-30-22_0002,11.83,12.08,11.85,0.06,0.32,0.07,0.00,0.39
2018-02-22T11-30-22_0003,11.82,12.09,11.85,0.09,0.42,0.08,0.05,0.26
2018-02-22T11-30-22_0004,11.85,12.08,11.85,0.06,0.19,0.11,-0.02,0.20
2018-02-22T11-30-22_0005,11.85,12.10,11.85,0.06,0.21,0.08,0.00,0.17
2018-02-22T11-30-22_0006,11.85,12.10,11.84,0.08,0.20,0.08,0.09,0.20
2018-02-22T11-30-22_0007,11.85,12.10,11.84,0.07,0.22,0.10,0.00,0.19
2018-02-22T11-30-22_0008,11.84,12.09,11.82,0.06,0.23,0.09,-0.02,0.19
2018-02-22T11-30-22_0009,11.83,12.08,11.85,0.09,0.34,0.09,0.00,0.38
2018-02-22T11-30-22_0010,11.83,12.08,11.85,0.05,0.49,0.12,-0.02,0.20
2018-02-22T11-30-22_0011,11.83,12.09,11.85,0.06,0.45,0.10,0.00,0.22
2018-02-22T11-30-22_0012,11.85,12.07,11.85,0.05,0.30,0.09,0.00,0.18
2018-02-22T11-30-22_0013,11.83,12.08,11.85,0.08,0.51,0.13,-0.02,0.19
2018-02-22T11-30-22_0014,11.84,12.08,11.84,0.05,0.27,0.10,-0.02,0.21
2018-02-22T11-30-22_0015,11.84,12.09,11.84,0.07,0.25,0.07,-0.02,0.23
2018-02-22T11-30-22_0016,11.83,12.08,11.85,0.08,0.22,0.10,0.02,0.48
2018-02-22T11-30-22_0017,11.84,12.08,11.83,0.05,0.26,0.10,0.05,0.20
2018-02-22T11-30-23_0000,11.84,12.08,11.85,0.06,0.50,0.11,0.00,0.19
2018-02-22T11-30-23_0001,11.84,12.09,11.85,0.09,0.23,0.12,-0.02,0.28
2018-02-22T11-30-23_0002,11.85,12.07,11.84,0.08,0.27,0.08,-0.02,0.18
2018-02-22T11-30-23_0003,11.85,12.08,11.83,0.05,0.26,0.09,0.02,0.18
2018-02-22T11-30-23_0004,11.85,12.09,11.84,0.06,0.20,0.11,0.07,0.18
2018-02-22T11-30-23_0005,11.83,12.08,11.85,0.06,0.30,0.07,0.00,0.34
2018-02-22T11-30-23_0006,11.85,12.09,11.85,0.05,0.25,0.09,-0.02,0.32
2018-02-22T11-30-23_0007,11.85,12.08,11.83,0.08,0.23,0.07,0.02,0.21
2018-02-22T11-30-23_0008,11.85,12.09,11.84,0.10,0.23,0.07,0.02,0.20
2018-02-22T11-30-23_0009,11.84,12.09,11.85,0.09,0.20,0.09,0.02,0.34
2018-02-22T11-30-23_0010,11.85,12.07,11.84,0.10,0.30,0.06,-0.05,0.18
2018-02-22T11-30-23_0011,11.84,12.09,11.84,0.09,0.26,0.07,-0.02,0.27
2018-02-22T11-30-23_0012,11.84,12.09,11.85,0.09,0.20,0.09,0.00,0.18
2018-02-22T11-30-23_0013,11.85,12.09,11.85,0.08,0.22,0.08,-0.02,0.18
2018-02-22T11-30-23_0014,11.84,12.08,11.85,0.08,0.33,0.09,-0.02,0.18
2018-02-22T11-30-23_0015,11.84,12.09,11.83,0.06,0.23,0.12,0.02,0.19
2018-02-22T11-30-23_0016,11.84,12.09,11.84,0.07,0.23,0.10,0.00,0.18
2018-02-22T11-30-24_0000,11.85,12.09,11.83,0.06,0.22,0.08,0.05,0.19
2018-02-22T11-30-24_0001,11.84,12.07,11.84,0.07,0.43,0.07,0.05,0.21
2018-02-22T11-30-24_0002,11.84,12.09,11.82,0.08,0.25,0.06,0.00,0.20
2018-02-22T11-30-24_0003,11.85,12.09,11.83,0.06,0.21,0.09,-0.02,0.22
2018-02-22T11-30-24_0004,11.85,12.09,11.84,0.08,0.22,0.12,-0.05,0.25
2018-02-22T11-30-24_0005,11.85,12.07,11.84,0.09,0.31,0.09,-0.02,0.22
2018-02-22T11-30-24_0006,11.85,12.08,11.83,0.05,0.23,0.10,0.02,0.18
2018-02-22T11-30-24_0007,11.85,12.10,11.85,0.08,0.21,0.10,0.02,0.18
2018-02-22T11-30-24_0008,11.84,12.09,11.83,0.08,0.20,0.10,-0.05,0.20
2018-02-22T11-30-24_0009,11.84,12.09,11.85,0.07,0.23,0.13,0.02,0.34
2018-02-22T11-30-24_0010,11.84,12.09,11.85,0.09,0.21,0.12,-0.02,0.33
2018-02-22T11-30-24_0011,11.84,12.09,11.85,0.09,0.22,0.10,0.00,0.47
2018-02-22T11-30-24_0012,11.84,12.09,11.84,0.06,0.20,0.12,0.02,0.17
2018-02-22T11-30-24_0013,11.82,12.08,11.85,0.08,0.46,0.12,-0.02,0.29
2018-02-22T11-30-24_0014,11.85,12.10,11.85,0.08,0.20,0.10,0.00,0.21
2018-02-22T11-30-24_0015,11.82,12.08,11.85,0.08,0.44,0.09,0.02,0.26
2018-02-22T11-30-24_0016,11.85,12.09,11.83,0.09,0.21,0.06,0.05,0.20
2018-02-22T11-30-25_0000,11.85,12.09,11.83,0.05,0.23,0.07,-0.05,0.21
2018-02-22T11-30-25_0001,11.85,12.08,11.85,0.07,0.22,0.11,0.05,0.20
2018-02-22T11-30-25_0002,11.85,12.09,11.83,0.10,0.22,0.09,0.00,0.22
2018-02-22T11-30-25_0003,11.84,12.09,11.85,0.05,0.47,0.12,0.00,0.22
2018-02-22T11-30-25_0004,11.84,12.09,11.85,0.09,0.23,0.12,0.00,0.48
2018-02-22T11-30-25_0005,11.84,12.09,11.85,0.07,0.25,0.08,0.02,0.37
2018-02-22T11-30-25_0006,11.85,12.09,11.83,0.09,0.24,0.10,-0.02,0.19
2018-02-22T11-30-25_0007,11.84,12.08,11.84,0.07,0.35,0.10,0.07,0.19
2018-02-22T11-30-25_0008,11.82,12.08,11.85,0.08,0.36,0.08,-0.05,0.35
2018-02-22T11-30-25_0009,11.84,12.09,11.85,0.07,0.21,0.11,0.05,0.37
2018-02-22T11-30-25_0010,11.84,12.08,11.82,0.05,0.19,0.12,-0.02,0.17
2018-02-22T11-30-25_0011,11.84,12.09,11.83,0.07,0.25,0.10,0.00,0.18
2018-02-22T11-30-25_0012,11.84,12.09,11.84,0.09,0.22,0.09,0.00,0.25
2018-02-22T11-30-25_0013,11.84,12.07,11.85,0.09,0.40,0.09,-0.02,0.17
2018-02-22T11-30-25_0014,11.85,12.10,11.84,0.09,0.20,0.10,0.00,0.18
2018-02-22T11-30-25_0015,11.85,12.09,11.83,0.07,0.19,0.09,0.02,0.17
2018-02-22T11-30-25_0016,11.83,12.09,11.84,0.06,0.26,0.06,0.02,0.28
2018-02-22T11-30-25_0017,11.84,12.09,11.84,0.07,0.23,0.09,0.07,0.39
2018-02-22T11-30-26_0000,11.84,12.09,11.85,0.08,0.21,0.12,-0.02,0.38
2018-02-22T11-30-26_0001,11.84,12.09,11.84,0.08,0.22,0.06,0.02,0.25
2018-02-22T11-30-26_0002,11.85,12.07,11.84,0.07,0.27,0.07,0.00,0.18
2018-02-22T11-30-26_0003,11.84,12.10,11.83,0.07,0.20,0.09,0.00,0.19
2018-02-22T11-30-26_0004,11.84,12.08,11.85,0.07,0.20,0.09,0.02,0.33
2018-02-22T11-30-26_0005,11.82,12.08,11.85,0.08,0.36,0.11,0.05,0.36
2018-02-22T11-30-26_0006,11.85,12.09,11.82,0.08,0.24,0.09,0.00,0.21
2018-02-22T11-30-26_0007,11.84,12.09,11.83,0.07,0.20,0.08,0.02,0.20
2018-02-22T11-30-26_0008,11.84,12.08,11.84,0.07,0.26,0.11,0.00,0.17
2018-02-22T11-30-26_0009,11.84,12.07,11.84,0.04,0.38,0.07,-0.02,0.18
2018-02-22T11-30-26_0010,11.83,12.07,11.85,0.08,0.49,0.10,0.05,0.18
2018-02-22T11-30-26_0011,11.84,12.09,11.84,0.08,0.22,0.09,0.05,0.29
2018-02-22T11-30-26_0012,11.84,12.10,11.83,0.05,0.23,0.08,0.00,0.20
2018-02-22T11-30-26_0013,11.84,12.08,11.85,0.07,0.21,0.09,0.02,0.20
2018-02-22T11-30-26_0014,11.84,12.09,11.85,0.09,0.20,0.08,0.00,0.42
2018-02-22T11-30-26_0015,11.84,12.10,11.84,0.07,0.21,0.12,0.00,0.21
2018-02-22T11-30-26_0016,11.84,12.09,11.85,0.11,0.20,0.11,0.05,0.39
2018-02-22T11-30-27_0000,11.83,12.08,11.85,0.07,0.50,0.09,-0.02,0.23
2018-02-22T11-30-27_0001,11.84,12.08,11.83,0.10,0.22,0.11,-0.02,0.20
2018-02-22T11-30-27_0002,11.84,12.09,11.83,0.08,0.20,0.10,0.02,0.21
2018-02-22T11-30-27_0003,11.85,12.10,11.84,0.08,0.23,0.07,0.05,0.18
2018-02-22T11-30-27_0004,11.83,12.09,11.85,0.07,0.31,0.12,0.05,0.42
2018-02-22T11-30-27_0005,11.85,12.10,11.85,0.09,0.18,0.07,-0.02,0.16
2018-02-22T11-30-27_0006,11.84,12.09,11.82,0.07,0.23,0.11,-0.02,0.19
2018-02-22T11-30-27_0007,11.84,12.08,11.85,0.09,0.22,0.12,0.00,0.40
2018-02-22T11-30-27_0008,11.84,12.07,11.85,0.05,0.41,0.08,0.00,0.18
2018-02-22T11-30-27_0009,11.85,12.10,11.84,0.09,0.22,0.06,-0.02,0.21
2018-02-22T11-30-27_0010,11.84,12.08,11.83,0.09,0.21,0.09,-0.05,0.22
2018-02-22T11-30-27_0011,11.84,12.10,11.84,0.08,0.23,0.08,-0.05,0.20
2018-02-22T11-30-27_0012,11.84,12.09,11.85,0.09,0.23,0.12,0.02,0.48
2018-02-22T11-30-27_0013,11.84,12.07,11.84,0.08,0.42,0.09,0.05,0.19
2018-02-22T11-30-27_0014,11.84,12.11,11.84,0.06,0.21,0.12,0.00,0.20
2018-02-22T11-30-27_0015,11.84,12.08,11.85,0.06,0.21,0.09,0.00,0.44
2018-02-22T11-30-27_0016,11.82,12.08,11.85,0.08,0.32,0.10,-0.05,0.42
2018-02-22T11-30-28_0000,11.85,12.11,11.84,0.07,0.20,0.08,0.02,0.18
2018-02-22T11-30-28_0001,11.85,12.09,11.84,0.08,0.20,0.09,-0.02,0.23
2018-02-22T11-30-28_0002,11.85,12.08,11.85,0.06,0.19,0.08,0.00,0.18
2018-02-22T11-30-28_0003,11.85,12.10,11.84,0.11,0.20,0.12,-0.02,0.18
2018-02-22T11-30-28_0004,11.82,12.08,11.85,0.07,0.37,0.09,0.02,0.34
2018-02-22T11-30-28_0005,11.84,12.08,11.85,0.06,0.19,0.11,-0.05,0.48
2018-02-22T11-30-28_0006,11.84,12.09,11.85,0.06,0.22,0.10,0.02,0.35
2018-02-22T11-30-28_0007,11.82,12.08,11.85,0.06,0.47,0.07,0.07,0.24
2018-02-22T11-30-28_0008,11.85,12.08,11.85,0.09,0.35,0.10,0.00,0.16
2018-02-22T11-30-28_0009,11.83,12.08,11.85,0.07,0.27,0.08,0.00,0.39
2018-02-22T11-30-28_0010,11.84,12.08,11.84,0.05,0.23,0.08,0.00,0.24
2018-02-22T11-30-28_0011,11.83,12.09,11.85,0.05,0.25,0.09,-0.02,0.45
2018-02-22T11-30-28_0012,11.82,12.09,11.85,0.07,0.33,0.12,-0.02,0.37
2018-02-22T11-30-28_0013,11.82,12.09,11.84,0.09,0.34,0.09,0.07,0.36
2018-02-22T11-30-28_0014,11.84,12.09,11.84,0.11,0.20,0.11,0.00,0.25
2018-02-22T11-30-28_0015,11.85,12.07,11.85,0.05,0.25,0.09,0.05,0.18
2018-02-22T11-30-28_0016,11.84,12.08,11.84,0.10,0.52,0.11,0.00,0.21
2018-02-22T11-30-29_0000,11.85,12.08,11.85,0.08,0.23,0.09,-0.02,0.19
2018-02-22T11-30-29_0001,11.84,12.09,11.84,0.06,0.21,0.09,0.00,0.31
2018-02-22T11-30-29_0002,11.85,12.09,11.85,0.05,0.25,0.08,0.05,0.16
2018-02-22T11-30-29_0003,11.82,12.08,11.85,0.09,0.46,0.09,0.05,0.28
2018-02-22T11-30-29_0004,11.85,12.09,11.83,0.08,0.21,0.08,-0.02,0.21
2018-02-22T11-30-29_0005,11.85,12.08,11.85,0.06,0.23,0.09,0.02,0.38
2018-02-22T11-30-29_0006,11.84,12.10,11.84,0.06,0.21,0.09,0.02,0.23
2018-02-22T11-30-29_0007,11.85,12.09,11.84,0.06,0.22,0.10,0.05,0.32
2018-02-22T11-30-29_0008,11.84,12.08,11.85,0.08,0.44,0.09,0.00,0.19
2018-02-22T11-30-29_0009,11.85,12.09,11.85,0.07,0.24,0.09,0.00,0.32
2018-02-22T11-30-29_0010,11.85,12.07,11.85,0.07,0.35,0.09,0.05,0.18
2018-02-22T11-30-29_0011,11.85,12.07,11.85,0.06,0.32,0.10,0.05,0.18
2018-02-22T11-30-29_0012,11.85,12.09,11.85,0.04,0.23,0.07,-0.12,0.18
2018-02-22T11-30-29_0013,11.84,12.08,11.83,0.09,0.24,0.09,0.00,0.23
2018-02-22T11-30-29_0014,11.85,12.08,11.84,0.09,0.25,0.07,0.00,0.18
2018-02-22T11-30-29_0015,11.85,12.10,11.84,0.08,0.21,0.10,-0.02,0.19
2018-02-22T11-30-29_0016,11.84,12.09,11.83,0.07,0.25,0.09,-0.02,0.22
2018-02-22T11-30-29_0017,11.84,12.08,11.84,0.06,0.22,0.10,0.05,0.22
2018-02-22T11-30-30_0000,11.85,12.10,11.84,0.05,0.24,0.06,-0.02,0.22
2018-02-22T11-30-30_0001,11.83,12.09,11.85,0.07,0.49,0.10,0.00,0.17
2018-02-22T11-30-30_0002,11.85,12.08,11.84,0.07,0.21,0.06,0.00,0.18
2018-02-22T11-30-30_0003,11.84,12.10,11.84,0.09,0.23,0.11,0.00,0.22
2018-02-22T11-30-30_0004,11.85,12.10,11.84,0.06,0.24,0.09,0.00,0.20
2018-02-22T11-30-30_0005,11.85,12.10,11.84,0.07,0.22,0.10,0.05,0.20
2018-02-22T11-30-30_0006,11.84,12.09,11.85,0.04,0.21,0.08,0.00,0.36
2018-02-22T11-30-30_0007,11.84,12.10,11.83,0.07,0.22,0.10,0.02,0.19
2018-02-22T11-30-30_0008,11.84,12.08,11.85,0.05,0.50,0.10,0.00,0.20
