TIMESTAMP,BBM_EBOX_OUT_VOLTAGE_MEASURED,STATOR_AND_MAIN_BATT_IN_VOLTAGE_MEASURED,BBM_WINCH_OUT_VOLTAGE_MEASURED,STATOR_TO_BBM_CURRENT_MEASURED,MAIN_BATT_TO_BBM_CURRENT_MEASURED,BBM_TO_WINCH_AND_BATT_CURRENT_MEASURED,WINCH_BATT_AND_BBM_TO_WINCH_CURRENT_MEASURED,BBM_TO_EBOX_CURRENT_MEASURED
2018-02-22T11-30-03_0008,11.85,12.09,11.83,0.07,0.25,0.09,0.02,0.22
2018-02-22T11-30-03_0009,11.85,12.07,11.85,0.08,0.34,0.05,-0.02,0.18
2018-02-22T11-30-03_0010,11.85,12.08,11.85,0.07,0.24,0.07,0.05,0.17
2018-02-22T11-30-03_0011,11.85,12.10,11.84,0.06,0.21,0.09,-0.02,0.18
2018-02-22T11-30-03_0012,11.85,12.11,11.85,0.09,0.18,0.07,0.00,0.21
2018-02-22T11-30-03_0013,11.85,12.10,11.85,0.07,0.21,0.09,-0.02,0.20
2018-02-22T11-30-03_0014,11.85,12.11,11.84,0.06,0.21,0.12,-0.02,0.19
2018-02-22T11-30-03_0015,11.85,12.07,11.85,0.08,0.40,0.09,0.02,0.19
2018-02-22T11-30-03_0016,11.85,12.07,11.85,0.08,0.41,0.10,0.05,0.17
2018-02-22T11-30-04_0000,11.85,12.08,11.83,0.05,0.23,0.08,0.05,0.20
2018-02-22T11-30-04_0001,11.84,12.10,11.83,0.07,0.23,0.08,0.00,0.19
2018-02-22T11-30-04_0002,11.84,12.08,11.85,0.08,0.47,0.10,0.05,0.20
2018-02-22T11-30-04_0003,11.85,12.08,11.85,0.06,0.28,0.06,0.00,0.19
2018-02-22T11-30-04_0004,11.85,12.10,11.83,0.08,0.22,0.09,0.02,0.22
2018-02-22T11-30-04_0005,11.85,12.09,11.83,0.07,0.25,0.10,0.02,0.18
2018-02-22T11-30-04_0006,11.83,12.09,11.85,0.05,0.25,0.08,0.00,0.45
2018-02-22T11-30-04_0007,11.84,12.09,11.86,0.09,0.22,0.09,0.02,0.49
2018-02-22T11-30-04_0008,11.84,12.09,11.86,0.09,0.20,0.10,0.02,0.48
